statement,target,result
End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,correct
"The Trump administration worked to free 5,000 Taliban prisoners.",True,correct
"In Afghanistan, over 100 billion dollars spent on military contracts.",True,correct
A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,True,correct
"Its been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.",True,correct
We have a record 9.3 million job openings in the U.S.,True,correct
"Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.",True,correct
"Wisconsins 2019-21 budget produced the first positive general fund balance since 2000, and the governors proposed 2021-23 budget would return it to a deficit.",True,correct
Opposition to having a fully elected Chicago Board of Education is in the super minority.,True,correct
We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.,True,correct
"There are more job openings than there are people on unemployment"" in Iowa.",True,correct
San Francisco had twice as many drug overdose deaths as COVID deaths last year.,True,correct
On Virginias new marijuana law: You can have up to one pound with only a $25 fine.,True,correct
Foxconn is the largest taxpayer in Racine County.,True,correct
"The federal American Rescue Plan will purchase more food from farmers for distribution.""",True,correct
There is racism physically built into some of our highways.,True,correct
Twice as many children are inBorder Patrolcustody under Biden than Trump peak in 2019.,True,correct
U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,True,correct
West Virginia is the only state to decline in population over the last 70 years,True,correct
"If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.",True,correct
The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,True,correct
In the last 10 years less than half of adults in the U.S. received a flu shot.,True,correct
(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.,True,correct
Iran has stockpiled 10 times as much enriched uranium as it had in 2016.,True,correct
Nick Freitas supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes.,True,correct
Video showed police thank (Kyle Rittenhouse) & give him water prior to the killings,True,correct
"In one of the states that determined the outcome of the 2016 presidential race, the winning margin averaged out to just two votes per precinct, two votes.",True,correct
"Cal Cunningham ""voted for over $1 billion in new taxes.",True,correct
"""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""",True,correct
"Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now nearly 1 in 3 Texans under the age of 65 dont have access to health care insurance.",True,correct
"On home health workers low pay and limited benefits, 40% are still on SNAP or Medicaid.",True,correct
