model_id,size,instruction,dataset,framing,item_id,target,prediction,raw_result,bin_result,valid,abstain,effective_accuracy
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_0,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_1,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_2,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_3,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_4,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_5,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_6,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_7,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_8,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_9,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_10,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_11,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_12,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_13,0,1.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_14,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_15,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_16,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_17,0,1.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_18,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_19,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_20,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_21,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_22,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_23,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_24,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_25,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_26,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_27,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_28,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_29,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_30,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_31,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_32,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_33,0,1.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_34,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_35,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_36,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_37,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_38,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_39,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_40,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_41,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_42,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_43,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_44,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_45,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_46,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_47,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_48,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_49,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_50,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_51,1,1.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_52,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_53,0,1.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_54,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_55,1,0.0,incorrect,0.0,1,0,0.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_56,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_57,0,0.0,correct,1.0,1,0,1.0
qwen2.5_1.5b_instruct,small,1,liar,framing0,liar_58,0,0.0,correct,1.0,1,0,1.0
