statement,target,result
Building a wall on the U.S.-Mexico border will take literally years.,True,correct
Wisconsin is on pace to double the number of layoffs this year.,False,uncertain
Says John McCain has done nothing to help the vets.,False,uncertain
"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",False,correct
Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,True,uncertain
Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,True,uncertain
Donald Trump is against marriage equality. He wants to go back.,True,uncertain
Denali is the Kenyan word for black power.,False,correct
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",False,correct
Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,True,correct
Unfortunately we have documented instances where people defecated in the (Statehouse) building.,False,incorrect
"Each year, 18,000 people die in America because they don't have health care.",True,uncertain
Ronald Reagan faced an even worse recession than the current one.,False,uncertain
The number of illegal immigrants could be 3 million. It could be 30 million.,False,uncertain
Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.,False,uncertain
"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.",True,incorrect
"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",True,uncertain
Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,False,incorrect
"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.",False,correct
The United States has a low voter turnout rate.,True,uncertain
"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.",True,uncertain
Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,True,uncertain
Says he won the second debate with Hillary Clinton in a landslide in every poll.,False,correct
"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",False,correct
When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.,False,uncertain
ACORN will be a paid partner with the Census Bureau and they will be in charge of going door-to-door and collecting data from the American public.,False,correct
Sixty percent of the Hispanics support the Arizona immigration law,False,uncertain
Says Bill and Hillary Clinton attended Donald Trumps last wedding.,True,incorrect
I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.,False,uncertain
The tax cut deal is giving $700 billion to millionaires and billionaires.,False,uncertain
"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",True,incorrect
Twenty-five states have lower unemployment than Texas which is tied with Mississippi for more minimum-wage jobs than anywhere in the United States.,True,uncertain
A strong bipartisan majority in the House of Representatives voted to defund Obamacare.,False,correct
What the facts say is ...the best scenario for kids is a loving mom and dad.,False,uncertain
Says Mark Neumann = Nancy Pelosi,False,correct
Rebuilding three high schools will benefit 40 percent of Portland Public School students.,False,uncertain
Providence has the lowest crime rate in three decades.,True,uncertain
On banning earmarks.,False,uncertain
A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.,False,correct
"Pepper ... kicked off a jock tax, imposing a levy on the sports and entertainment industry.",True,incorrect
"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",True,uncertain
"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",False,incorrect
Says Milken Institute rated San Antonio as nations top-performing local economy.,True,uncertain
Says people in Africa literally walk two and three hundred miles in order to vote.,False,uncertain
"Before World War II, very few people actually had health insurance.",True,correct
Half of children struck by cars near schools are hit by parents driving children to school.,False,uncertain
Putting three Republicans in my Cabinet...is unprecedented.,True,uncertain
"I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.",True,incorrect
"As a result of climate change, ice fishermen in Wisconsin are already noticing fewer days they can be out on our ice covered lakes.",True,correct
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",False,correct
"The Taliban has been there for years and years, I mean, hundreds of thousands of years.",False,correct
Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,True,uncertain
"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",True,incorrect
"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",False,uncertain
Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan.,False,correct
Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.,True,incorrect
U.S. Rep. Lloyd Doggett is the most liberal man in the United States Congress.,False,uncertain
"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.",False,uncertain
President Obama has the lowest public approval ratings of any president in modern times.,False,correct
On an income cap for recipients of the popular HOPE scholarship,False,uncertain
Tom Suozzi raised taxes by hundreds of millions of dollars as Nassau County executive.,True,incorrect
"John Holdren, director of the White House Office of Science and Technology Policy, has proposed forcing abortions and putting sterilants in the drinking water to control population.",False,correct
Many of the founding fathers were very actively involved in cockfighting.,False,uncertain
Says state Sen. Sheila Harsdorf wants to eliminate Medicare as we know it.,False,uncertain
I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,False,correct
Virginia has made no progress on jobs since Bob McDonnell took office.,False,uncertain
The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.,False,correct
Ronald Reagan raised the national debt 18 times.,True,incorrect
On whether global warming is man-made.,False,uncertain
The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.,True,uncertain
Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,False,uncertain
Charlottes anti-discrimination ordinance would have opened all bathrooms to all sexes at all times if it hadnt been overturned.,False,uncertain
On pay for fired Milwaukee police officers,False,uncertain
Texas is the state that has now gone the longest without electing a Democrat statewide.,True,correct
Says CNN reported Ben Carson was taking a break from campaigning and the Cruz campaign forwarded that news to our volunteers.,False,uncertain
"Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.",True,uncertain
"Says President Barack Obama told a room of students, Children, every time I clap my hands together, a child in America dies from gun violence, and then a child told him he could solve the problem by not clapping any more.",False,correct
NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,False,correct
There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.,False,uncertain
On the Bush tax cuts.,False,uncertain
Sixteen million jobs were created under Ronald Reagans presidency.,True,incorrect
This would be the largest casino in the United States.,False,uncertain
Barack Obama ... 96 percent of his votes have been solely along party line.,True,uncertain
"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate.""",True,uncertain
Says American polling shows Russian President Vladimir Putin has an 80 percent approval rating.,True,uncertain
Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average.,True,uncertain
"In rural Virginia, Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.",False,uncertain
I can tell you with certainty (capandtrade)would have a devastating impact on our economy.,False,uncertain
Mitt Romney left Massachusetts $1 billion in debt.,False,correct
Says Barack Obama promised he would cut the deficit in half but didnt.,True,uncertain
The fact is the Clinton Foundation has got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should.,False,uncertain
Health care premiums for consumers have doubled since 2001.,True,uncertain
"Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",False,correct
"Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining.",False,uncertain
"Im well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.",False,uncertain
Says Rick Perry recently said he wanted another (Texas) business tax.,False,uncertain
"Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.",False,uncertain
Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,False,uncertain
"Says At age 76 when you most need it, you are not eligible for cancer treatment under Affordable Care Act.",False,correct
Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.,False,correct
Loranne Ausley voted six times to tax your savings.,False,correct
Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.,False,uncertain
The president campaigned against this type of legislation.,True,uncertain
"The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnsons Great Society.",False,correct
I said no to these big bank bailouts.,True,uncertain
ACORN could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states.,False,uncertain
The collective net worth of Americans has taken a $5.5 trillion hit ... mainly due to plummeting home values.,True,uncertain
"The average Georgia family makes $6,000 less than the average family did 10 years ago when inflation is factored in.",True,uncertain
"The Obama administration leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.",False,uncertain
Says President Barack Obama spent nearly a trillion dollars on make-work government jobs.,False,uncertain
"Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.",True,uncertain
